Bram Stoker's Dracula,http://resizing.flixster.com/x3cAqTql6HPipavjw_OkSCaDpm8=/180x260/dkpu1ddg7pbsk.cloudfront.net/movie/59/64/98/5964985_ori.jpg,Action,1992,7.5,128,Columbia Pictures,35.72
Back to the Future Part II,http://resizing.flixster.com/gqemFWJuuNW6pVn4p7JfoGo4VSM=/180x270/dkpu1ddg7pbsk.cloudfront.net/movie/11/17/38/11173853_ori.jpg,Action,1989,7.8,108,Universal Pictures,39.88
Police Academy,http://resizing.flixster.com/yxkN7ApOx7oebSilMhOj1kcXv3M=/176x270/dkpu1ddg7pbsk.cloudfront.net/movie/55/35/80/5535807_ori.jpg,Action,1984,6.6,96,Warner Bros. / The Ladd Company,66.67
Thor: The Dark World,http://resizing.flixster.com/sLeSlSjBR_h2MiaJIA63bgyOeHI=/180x257/dkpu1ddg7pbsk.cloudfront.net/movie/11/17/26/11172694_ori.jpg,Adventure,2013,7.1,112,Marvel Studios,30.25
Iron Man,http://resizing.flixster.com/cXKTN6mCA8-ig98jkg7RVBhnMv4=/180x266/dkpu1ddg7pbsk.cloudfront.net/movie/10/93/35/10933541_ori.jpg,Adventure,2008,7.9,126,Paramount / Marvel Studios,31.4
The Chronicles of Narnia: Prince Caspian,http://resizing.flixster.com/0p446SDsCxtLqOzHPuQNS1dxZQE=/180x268/dkpu1ddg7pbsk.cloudfront.net/movie/11/12/92/11129292_ori.jpg,Adventure,2008,6.6,150,Disney / Walden Media,84.67
The Simpsons Movie,http://resizing.flixster.com/Vj9BYtnUOcPSdQRrFT8aeJqpinI=/180x265/dkpu1ddg7pbsk.cloudfront.net/movie/10/84/37/10843725_ori.jpg,Adventure,2007,7.4,87,Fox,89.53
Charlie and the Chocolate Factory,http://resizing.flixster.com/1_QYLOL1hIXTD3z7ujcYi8zcqzs=/180x270/dkpu1ddg7pbsk.cloudfront.net/movie/11/17/64/11176489_ori.jpg,Adventure,2005,6.7,115,Warner Bros,77.26
The Day After Tomorrow,http://resizing.flixster.com/cZDf0sYKmn_QfbQ1kVGJOCou9fw=/180x251/dkpu1ddg7pbsk.cloudfront.net/movie/25/43/254313_ori.jpg,Adventure,2004,6.4,124,Fox,40.85
Bad Boys II,http://resizing.flixster.com/uEAAP_eXXw44sXo97rQpKX8_Mxs=/180x262/dkpu1ddg7pbsk.cloudfront.net/movie/11/14/67/11146748_ori.jpg,Adventure,2003,6.5,147,Columbia,45.64
Star Wars Episode II: Attack of the Clones,http://resizing.flixster.com/A47EQAAO1SHIIvN5HrkKfhAGpQk=/180x239/dkpu1ddg7pbsk.cloudfront.net/movie/10/94/47/10944721_ori.jpg,Adventure,2002,6.7,142,20th Century Fox / Lucasfilm,39.14
Born on the Fourth of July,http://resizing.flixster.com/uORJJKgy_lsdJT2bkQmStA3V2qI=/180x270/dkpu1ddg7pbsk.cloudfront.net/movie/11/17/58/11175872_ori.jpg,Adventure,1989,7.2,145,Universal Pictures,61.66
Lethal Weapon 2,http://resizing.flixster.com/RFQcK-L53KhuubGeaJKOomMbg9k=/180x268/dkpu1ddg7pbsk.cloudfront.net/movie/11/12/88/11128832_ori.jpg,Adventure,1989,7.2,114,Warner Bros.,75.16
Aliens,http://resizing.flixster.com/xYugVntiVJbVz5x_bQq5-Pjg5aU=/180x270/dkpu1ddg7pbsk.cloudfront.net/movie/11/18/07/11180796_ori.jpg,Adventure,1986,8.4,137,20th Century Fox,96.18
Stripes,http://resizing.flixster.com/Q-eReXk6_UMY8FCVc-8bY3hIGUU=/180x260/dkpu1ddg7pbsk.cloudfront.net/movie/27/68/276891_ori.jpg,Adventure,1981,6.9,106,Columbia Pictures,88.18
Stir Crazy,http://resizing.flixster.com/wL38Yy4AjFhwIw7BL9Lx5M_g35g=/179x257/dkpu1ddg7pbsk.cloudfront.net/movie/10/93/72/10937292_ori.jpg,Adventure,1980,6.8,111,Columbia Pictures,10.15
Mission: Impossible - Ghost Protocol,http://resizing.flixster.com/mkSB3etRkGB2js2wVcXWHBFXcag=/180x270/dkpu1ddg7pbsk.cloudfront.net/movie/11/16/91/11169152_ori.jpg,Animation,2011,7.4,133,Paramount,13.85
Sherlock Holmes,http://resizing.flixster.com/t90NXGvHd_JXdRtTgD2BA8WPQKM=/180x270/dkpu1ddg7pbsk.cloudfront.net/movie/11/16/67/11166728_ori.jpg,Animation,2009,7.6,128,Warner Bros.,49.9
Madagascar: Escape 2 Africa,http://resizing.flixster.com/8qu9PY5y1_Vy98M35ZAVSoLceOM=/180x266/dkpu1ddg7pbsk.cloudfront.net/movie/10/84/92/10849221_ori.jpg,Animation,2008,6.7,89,Paramount / DreamWorks,58.04
